Date,^NSEI,RELIANCE.NS,HDFCBANK.NS,TCS.NS,ICICIBANK.NS,INFY.NS,SBIN.NS,BAJFINANCE.NS,INDHOTEL.NS,ONGC.NS,NAUKRI.NS,INR=X,JETAIRWAYS.NS,IDEA.NS,GOLD-MMIc1.MCX,SILVER-MSDc1.MCX,IND-10Y.BOND,NIFTY.FUT
2014-02-12,6084.0,380.220093,300.072937,855.27179,160.692932,346.014832,139.614441,142.827667,55.600582,120.528099,515.422852,62.029999,220.149994,79.194077,29698.0,44865.0,8.811,6099.75
2014-02-13,6001.100098,375.338989,294.052399,866.767761,158.184143,344.640442,136.703674,142.856552,55.007141,116.440926,510.322876,61.68,217.550003,78.331657,29726.0,44945.0,8.865,6005.45
2014-02-14,6048.350098,382.149353,298.375977,880.640137,158.964081,350.263092,134.385147,142.201172,55.600582,117.675598,525.333984,62.150002,216.0,78.866951,29932.0,46618.0,8.808,6058.0
2014-02-17,,377.616791,302.374207,879.624634,162.293121,351.594208,134.248489,144.943207,55.098446,118.250389,545.011658,61.830002,223.050003,77.617928,30664.0,47738.0,8.805,6091.2
2014-02-18,6127.100098,378.011963,307.023285,879.868286,166.900681,353.886505,136.740143,150.109268,54.824543,117.845924,550.111572,61.790001,220.199997,77.945053,30766.0,48030.0,8.768,6138.8
2014-02-19,6152.75,377.593597,311.509583,892.846863,165.790985,360.748901,137.386978,148.446686,55.417992,118.952827,566.180908,62.209999,222.800003,79.402237,30712.0,47795.0,,6159.05
2014-02-20,6091.450195,374.432434,308.115784,889.353455,162.084045,356.697723,134.8862,145.757629,62.311001,117.590446,583.597412,62.259998,219.350006,77.528709,30608.0,47505.0,8.788,6107.95
2014-02-21,6155.450195,377.244934,308.882843,895.994995,164.890366,360.489441,136.84491,147.429855,62.402294,117.90976,614.533325,62.130001,219.350006,76.517586,30677.0,47472.0,8.795,6163.95
2014-02-24,6186.100098,377.640076,311.951263,884.702087,166.643341,360.412537,137.610199,147.106995,64.958656,120.144928,625.358459,62.009998,218.949997,76.279678,30927.0,48011.0,8.885,6193.2
2014-02-25,6200.049805,376.803314,311.997711,889.170898,165.823166,363.58429,137.200211,149.714111,63.497868,119.953316,616.987061,62.068001,217.25,75.714653,30972.0,47823.0,8.875,6209.05
2014-02-26,6238.799805,376.873016,314.926605,886.428711,166.683548,365.948608,138.51207,149.188797,63.406567,120.677086,611.357727,61.978001,214.449997,74.941444,30810.0,46644.0,8.915,6238.8
2014-02-28,6276.950195,371.87558,311.300293,924.450623,167.873642,367.616211,139.682755,151.463425,63.178333,124.040451,605.151367,62.02,217.149994,76.66629,30634.0,46383.0,8.862,6289.25
2014-03-03,6221.450195,373.479431,309.719696,909.948792,165.61409,365.059479,138.325363,153.145294,62.676189,123.721146,592.546143,61.82,215.449997,77.766617,32051.0,48074.0,8.904,6239.45
2014-03-04,6297.950195,377.918976,312.276611,910.192444,171.934387,365.18454,141.240601,152.77417,65.734673,125.956337,582.635193,62.169998,217.050003,78.777733,31126.0,47230.0,8.836,6333.85
2014-03-05,6328.649902,375.153015,311.370056,914.76239,176.807266,367.313354,143.632065,150.123688,65.780342,127.93602,610.924866,61.599998,218.149994,78.272186,32351.0,47082.0,8.842,6352.3
2014-03-06,6401.149902,382.335297,314.089813,910.23291,182.363708,368.293793,143.704941,155.79097,65.734673,131.490952,596.539551,61.748001,223.800003,78.510078,30416.0,47223.0,8.792,6430.1
2014-03-07,6526.649902,404.161041,330.756622,905.256714,193.291473,359.489868,150.287079,157.747498,65.18689,134.577652,586.435669,60.799999,224.050003,80.681007,30307.0,46232.0,8.811,6549.7
2014-03-10,6537.25,411.622253,341.449463,870.382996,191.956696,352.886841,154.158936,161.159424,63.908718,136.19545,586.580261,61.23,236.75,83.446701,30327.0,46001.0,8.752,6567.55
2014-03-11,6511.899902,406.648163,337.125763,874.039124,192.688431,353.247314,153.942902,163.337616,63.817429,137.5578,575.755005,60.810001,241.350006,83.357491,30421.0,45928.0,8.733,6545.3
2014-03-12,6516.899902,405.067566,337.311798,885.331787,194.859512,352.858063,151.212952,162.956909,65.734673,134.939484,577.054138,61.040001,235.0,84.398338,30627.0,46788.0,8.715,6549.25
2014-03-13,6493.100098,408.879547,345.122162,873.185913,196.202377,322.70752,151.856384,158.745041,62.950077,138.004868,581.672913,60.77,233.75,83.238525,30697.0,46770.0,8.735,6519.6
2014-03-14,6504.200195,411.947693,340.380188,869.12384,195.398224,326.220459,152.044815,159.588379,63.041378,137.408783,574.792786,61.459999,227.850006,81.335258,30719.0,47106.0,8.791,6538.85
2014-03-18,6516.649902,416.735962,341.240234,861.99469,193.709656,322.029999,156.378708,160.976303,63.63483,138.345459,572.050476,61.040001,232.449997,81.513695,30389.0,45860.0,8.8,6547.5
2014-03-19,6524.049805,419.780823,343.309113,828.441101,194.586121,314.456177,157.072693,160.879883,63.497868,133.598419,560.792297,61.108002,228.550003,81.543442,30169.0,45706.0,8.777,6550.2
2014-03-20,6483.100098,421.175476,339.473602,856.388611,193.106537,317.4646,154.232452,159.217331,63.680466,134.44989,579.555969,60.950001,224.199997,81.930038,29924.0,45021.0,8.819,6502.55
2014-03-21,6493.200195,411.785126,341.170471,864.02594,192.913559,317.714508,156.456848,161.27504,64.593468,130.447891,583.116211,61.333,224.449997,79.640152,29850.0,44677.0,8.795,6510.7
2014-03-22,,,,,,,,,,,,,,,,,,6512.15
2014-03-24,6583.5,420.896515,348.980865,874.424988,199.772583,314.845581,158.612305,159.699219,63.954372,136.706345,584.07843,61.02,225.100006,80.532318,29182.0,43981.0,8.783,6598.85
2014-03-25,6589.75,408.763336,348.748413,872.007813,201.437103,312.788757,160.248444,160.031754,63.452232,136.19545,592.401794,60.59,226.25,80.472839,28971.0,43533.0,8.788,6605.95
2014-03-26,6601.399902,414.295319,346.842316,850.41748,202.072327,312.260132,162.463638,159.988358,64.091309,138.494461,618.622864,60.220001,222.699997,80.472839,28595.0,43067.0,8.783,6612.55
